NoiseFloor Measurement (Signal power out = -72 dBm)
Frequency ; Level (No Signal) ; Signal Level ; Noise Floor (dBm)
1000000 ; -101,1  ; -46,6  ; -126,5
1500000 ; -102,5  ; -46,7  ; -127,8
2000000 ; -103,2  ; -46,8  ; -128,4
2500000 ; -102,9  ; -47,1  ; -127,8
3000000 ; -127,2  ; -71,5  ; -127,7
3500000 ; -128,2  ; -72,1  ; -128,1
4000000 ; -128,2  ; -71,6  ; -128,6
4500000 ; -127,2  ; -72,0  ; -127,2
5000000 ; -103,1  ; -47,4  ; -127,7
5500000 ; -102,4  ; -47,1  ; -127,3
6000000 ; -102,3  ; -46,9  ; -127,4
6500000 ; -103,3  ; -46,9  ; -128,4
7000000 ; -102,6  ; -47,1  ; -127,5
7500000 ; -96,7  ; -47,2  ; -121,5
8000000 ; -102,1  ; -47,1  ; -127
8500000 ; -102,8  ; -47,0  ; -127,8
9000000 ; -102,5  ; -47,0  ; -127,5
9500000 ; -100,0  ; -47,0  ; -125
10000000 ; -100,7  ; -46,9  ; -125,8
10500000 ; -99,8  ; -46,9  ; -124,9
11000000 ; -100,7  ; -46,6  ; -126,1
11500000 ; -100,7  ; -46,8  ; -125,9
12000000 ; -100,1  ; -47,0  ; -125,1
12500000 ; -126,1  ; -71,9  ; -126,2
13000000 ; -124,9  ; -72,3  ; -124,6
13500000 ; -125,7  ; -72,3  ; -125,4
14000000 ; -126,3  ; -72,5  ; -125,8
14500000 ; -125,2  ; -72,0  ; -125,2
15000000 ; -123,7  ; -72,0  ; -123,7
15500000 ; -125,2  ; -71,8  ; -125,4
16000000 ; -125,7  ; -72,1  ; -125,6
16500000 ; -124,5  ; -71,6  ; -124,9
17000000 ; -124,6  ; -71,7  ; -124,9
17500000 ; -124,8  ; -71,8  ; -125
18000000 ; -124,8  ; -71,8  ; -125
18500000 ; -126,1  ; -72,1  ; -126
19000000 ; -126,7  ; -72,3  ; -126,4
19500000 ; -126,0  ; -72,4  ; -125,6
20000000 ; -124,6  ; -72,4  ; -124,2
20500000 ; -125,7  ; -72,3  ; -125,4
21000000 ; -125,8  ; -72,4  ; -125,4
21500000 ; -125,4  ; -72,2  ; -125,2
22000000 ; -124,4  ; -72,0  ; -124,4
22500000 ; -124,5  ; -71,6  ; -124,9
23000000 ; -123,8  ; -71,6  ; -124,2
23500000 ; -124,9  ; -71,6  ; -125,3
24000000 ; -124,1  ; -71,5  ; -124,6
24500000 ; -122,9  ; -71,7  ; -123,2
25000000 ; -123,6  ; -72,0  ; -123,6
25500000 ; -122,8  ; -72,5  ; -122,3
26000000 ; -123,0  ; -72,9  ; -122,1
26500000 ; -123,1  ; -72,3  ; -122,8
27000000 ; -122,2  ; -72,2  ; -122
27500000 ; -122,8  ; -72,0  ; -122,8
28000000 ; -121,3  ; -71,8  ; -121,5
28500000 ; -121,8  ; -71,3  ; -122,5
29000000 ; -119,9  ; -71,2  ; -120,7
29500000 ; -120,6  ; -71,1  ; -121,5
